# t[days] u g r i z y J H K
1.22449 -9.827 -11.634 -12.071 -11.860 -11.437 -11.067 -10.798 -11.120 -11.273 
1.42857 -9.827 -11.634 -12.071 -11.860 -11.437 -11.067 -10.894 -11.307 -11.556 
1.63265 -9.132 -11.185 -11.790 -11.717 -11.392 -11.009 -10.972 -11.391 -11.724 
1.83673 -8.386 -10.696 -11.446 -11.516 -11.196 -10.952 -11.000 -11.555 -11.881 
2.04082 -7.648 -10.130 -11.085 -11.299 -11.055 -10.879 -10.972 -11.559 -11.891 
2.24490 -6.859 -9.599 -10.716 -10.967 -10.814 -10.652 -10.875 -11.571 -12.003 
2.44898 -6.148 -9.063 -10.171 -10.601 -10.501 -10.347 -10.726 -11.571 -12.003 
2.65306 -5.708 -8.531 -9.733 -10.171 -10.224 -10.073 -10.540 -11.447 -11.996 
2.85714 -5.151 -7.964 -9.228 -9.747 -9.892 -9.833 -10.380 -11.310 -11.951 
3.06122 -4.532 -7.379 -8.863 -9.350 -9.580 -9.431 -10.139 -11.150 -11.818 
3.26531 -3.591 -6.815 -8.266 -9.028 -9.116 -9.092 -9.803 -11.017 -11.729 
3.46939 -3.100 -6.335 -7.878 -8.570 -8.849 -8.872 -9.732 -10.833 -11.611 
3.67347 -2.389 -5.976 -7.436 -8.010 -8.320 -8.567 -9.385 -10.607 -11.469 
3.87755 -2.152 -5.341 -7.117 -7.666 -7.859 -7.963 -9.119 -10.419 -11.323 
4.08163 -2.152 -4.783 -6.310 -7.335 -7.730 -7.658 -8.727 -10.275 -11.242 
4.28571 -1.189 -4.022 -6.048 -6.942 -7.229 -7.284 -8.642 -10.073 -11.073 
4.48980 3.749 -3.253 -5.568 -6.278 -6.654 -7.020 -8.208 -9.888 -10.923 
4.69388 5.119 -3.253 -5.255 -6.003 -6.391 -6.446 -8.142 -9.614 -10.823 
4.89796 6.488 -3.253 -5.072 -5.963 -6.075 -6.050 -7.786 -9.485 -10.590 
5.10204 7.858 -2.279 -4.511 -5.346 -5.864 -5.860 -7.527 -9.236 -10.444 
5.30612 9.228 -2.275 -4.461 -4.723 -5.820 -5.618 -7.205 -9.107 -10.274 
5.51020 10.598 -2.077 -4.064 -4.723 -5.278 -5.461 -7.069 -8.881 -10.166 
5.71429 11.967 -1.689 -3.454 -4.313 -4.609 -5.156 -6.734 -8.581 -9.926 
5.91837 11.967 -0.861 -3.168 -4.124 -4.275 -4.366 -6.215 -8.415 -9.855 
