# t[days] Lbol[erg/s]
1.22449 1.16385e+42
1.42857 1.16385e+42
1.63265 1.12315e+42
1.83673 1.03613e+42
2.04082 9.46252e+41
2.24490 8.53076e+41
2.44898 7.76839e+41
2.65306 7.02753e+41
2.85714 6.34310e+41
3.06122 5.83307e+41
3.26531 5.28677e+41
3.46939 4.87292e+41
3.67347 4.31409e+41
3.87755 4.02756e+41
4.08163 3.72335e+41
4.28571 3.32540e+41
4.48980 3.17133e+41
4.69388 2.90245e+41
4.89796 2.71276e+41
5.10204 2.53489e+41
5.30612 2.29851e+41
5.51020 2.17583e+41
5.71429 2.06022e+41
5.91837 1.89902e+41
