# t[days] u g r i z y J H K
1.22449 -10.545 -12.010 -13.166 -13.855 -14.043 -13.932 -14.086 -13.962 -13.819 
1.42857 -10.545 -12.010 -13.166 -13.855 -14.043 -14.049 -14.104 -14.078 -13.995 
1.63265 -10.087 -11.790 -13.105 -13.766 -13.985 -14.087 -14.206 -14.168 -14.013 
1.83673 -9.624 -11.481 -12.867 -13.678 -13.979 -14.087 -14.206 -14.168 -14.100 
2.04082 -9.098 -11.206 -12.708 -13.510 -13.870 -13.995 -14.184 -14.168 -14.181 
2.24490 -8.642 -10.916 -12.527 -13.453 -13.821 -13.968 -14.136 -14.230 -14.195 
2.44898 -8.208 -10.684 -12.388 -13.316 -13.685 -13.863 -14.114 -14.234 -14.195 
2.65306 -7.650 -10.455 -12.180 -13.174 -13.586 -13.819 -14.052 -14.230 -14.165 
2.85714 -7.272 -10.054 -11.899 -13.001 -13.485 -13.704 -14.002 -14.165 -14.165 
3.06122 -6.830 -9.893 -11.758 -12.876 -13.418 -13.650 -13.928 -14.146 -14.164 
3.26531 -6.533 -9.535 -11.537 -12.684 -13.279 -13.530 -13.880 -14.130 -14.144 
3.46939 -5.992 -9.263 -11.303 -12.566 -13.069 -13.371 -13.828 -14.061 -14.119 
3.67347 -5.648 -8.787 -11.133 -12.310 -12.950 -13.190 -13.730 -13.992 -14.045 
3.87755 -5.033 -8.658 -10.897 -12.211 -12.796 -13.154 -13.631 -13.936 -14.034 
4.08163 -4.503 -8.294 -10.683 -12.011 -12.666 -12.992 -13.550 -13.857 -14.026 
4.28571 -4.503 -8.058 -10.380 -11.843 -12.497 -12.894 -13.444 -13.820 -14.010 
4.48980 -4.084 -7.829 -10.211 -11.694 -12.423 -12.779 -13.374 -13.809 -13.931 
4.69388 -2.996 -7.588 -9.913 -11.515 -12.207 -12.593 -13.249 -13.702 -13.884 
4.89796 -2.850 -7.208 -9.710 -11.304 -12.055 -12.487 -13.210 -13.616 -13.884 
5.10204 -2.594 -6.822 -9.469 -11.134 -11.918 -12.336 -13.093 -13.595 -13.836 
5.30612 -1.570 -6.609 -9.307 -10.860 -11.792 -12.219 -13.013 -13.514 -13.755 
5.51020 -1.084 -6.302 -9.106 -10.746 -11.624 -12.079 -12.856 -13.440 -13.732 
5.71429 -1.084 -5.789 -8.875 -10.488 -11.495 -11.973 -12.818 -13.378 -13.633 
5.91837 -0.756 -5.348 -8.610 -10.339 -11.273 -11.788 -12.692 -13.279 -13.631 
