# t[days] Lbol[erg/s]
1.22449 1.21970e+41
1.42857 1.21970e+41
1.63265 1.16530e+41
1.83673 1.11452e+41
2.04082 1.08326e+41
2.24490 1.07859e+41
2.44898 1.06954e+41
2.65306 1.06620e+41
2.85714 1.06522e+41
3.06122 1.06620e+41
3.26531 1.06522e+41
3.46939 1.06133e+41
3.67347 1.05839e+41
3.87755 1.05414e+41
4.08163 1.05107e+41
4.28571 1.05031e+41
4.48980 1.04157e+41
4.69388 1.00939e+41
4.89796 1.00085e+41
5.10204 9.80248e+40
5.30612 9.65327e+40
5.51020 9.47368e+40
5.71429 9.17260e+40
5.91837 8.96018e+40
