# t[days] u g r i z y J H K
0.51724 -13.790 -14.743 -14.983 -14.900 -14.887 -15.009 -14.361 -14.088 -13.796 
1.03448 -13.790 -14.743 -14.983 -15.011 -15.308 -15.381 -15.339 -14.979 -14.612 
1.55172 -12.091 -13.572 -14.528 -15.011 -15.308 -15.381 -15.339 -14.979 -14.612 
2.06897 -10.807 -12.453 -13.695 -14.383 -14.805 -14.937 -14.901 -14.683 -14.536 
2.58621 -9.766 -11.817 -13.249 -14.161 -14.584 -14.832 -14.871 -14.675 -14.506 
3.10345 -8.839 -11.186 -12.721 -13.819 -14.347 -14.523 -14.725 -14.655 -14.500 
3.62069 -7.689 -10.445 -12.180 -13.337 -13.907 -14.228 -14.541 -14.582 -14.362 
4.13793 -6.668 -9.520 -11.552 -12.884 -13.602 -13.984 -14.257 -14.276 -14.345 
4.65517 -5.056 -8.835 -10.900 -12.430 -13.066 -13.490 -13.894 -14.066 -13.978 
5.17241 -4.743 -7.697 -10.336 -11.883 -12.663 -13.134 -13.572 -13.878 -13.896 
5.68966 -2.427 -7.250 -9.576 -11.257 -12.191 -12.706 -13.273 -13.550 -13.735 
6.20690 -1.337 -6.443 -8.756 -10.556 -11.698 -12.142 -12.798 -13.292 -13.463 
6.72414 -0.172 -5.473 -8.229 -9.984 -11.157 -11.671 -12.538 -13.032 -13.231 
7.24138 0.614 -3.218 -7.327 -9.163 -10.251 -11.120 -12.077 -12.713 -12.903 
7.75862 1.748 -3.038 -6.747 -9.121 -10.029 -10.794 -11.662 -12.534 -12.675 
8.27586 2.882 -3.038 -6.159 -8.421 -9.048 -9.897 -11.253 -11.997 -12.462 
8.79310 4.016 -2.707 -5.484 -7.298 -8.602 -9.650 -10.882 -11.804 -12.172 
9.31034 5.150 -2.707 -4.233 -7.257 -8.535 -9.085 -10.409 -11.647 -11.909 
9.82759 6.284 2.441 -3.086 -6.623 -7.349 -9.006 -9.836 -11.013 -11.684 
10.34483 7.418 3.572 -2.389 -5.962 -7.222 -7.980 -9.577 -10.598 -11.292 
10.86207 8.552 4.704 -2.389 -5.231 -6.490 -7.231 -8.979 -10.547 -11.084 
11.37931 9.685 5.836 -2.054 -5.231 -6.467 -7.119 -8.716 -10.312 -10.800 
11.89655 10.819 6.967 3.476 -4.782 -5.805 -6.680 -8.018 -9.127 -10.606 
12.41379 11.953 8.099 5.017 -4.263 -6.467 -5.683 -7.849 -8.649 -10.474 
12.93103 13.087 9.230 6.559 -1.535 -4.253 -5.351 -7.367 -8.388 -9.783 
13.44828 14.221 10.362 8.100 -0.821 -4.253 -5.441 -6.774 -8.328 -9.476 
13.96552 15.355 11.494 9.642 2.448 0.448 -5.124 -6.743 -8.135 -9.476 
14.48276 16.489 12.625 11.184 3.984 1.698 -5.124 -5.059 -7.736 -9.334 
15.00000 16.489 12.625 11.184 3.984 1.698 0.000 -4.308 -6.652 -8.806 
