# t[days] Lbol[erg/s]
0.51724 2.65625e+41
1.03448 3.72170e+41
1.55172 3.72170e+41
2.06897 2.94169e+41
2.58621 2.64552e+41
3.10345 2.34764e+41
3.62069 2.00863e+41
4.13793 1.64697e+41
4.65517 1.27196e+41
5.17241 9.92073e+40
5.68966 7.40551e+40
6.20690 5.37964e+40
6.72414 4.03865e+40
7.24138 3.04088e+40
7.75862 2.27676e+40
8.27586 1.76517e+40
8.79310 1.33704e+40
9.31034 1.04280e+40
9.82759 8.13100e+39
10.34483 6.33993e+39
10.86207 4.94340e+39
11.37931 3.85449e+39
11.89655 3.00544e+39
12.41379 2.34341e+39
12.93103 1.82721e+39
13.44828 1.42472e+39
13.96552 1.11089e+39
14.48276 8.66188e+38
15.00000 6.75388e+38
