# t[days] Lbol[erg/s]
0.51724 2.49025e+40
1.03448 2.49025e+40
1.55172 1.18710e+40
2.06897 5.79363e+39
2.58621 3.63856e+39
3.10345 2.48354e+39
3.62069 1.94844e+39
4.13793 1.44968e+39
4.65517 1.12668e+39
5.17241 9.25579e+38
5.68966 7.42135e+38
6.20690 6.52466e+38
6.72414 5.41154e+38
7.24138 4.94877e+38
7.75862 3.95812e+38
8.27586 3.51096e+38
8.79310 3.07321e+38
9.31034 2.78069e+38
9.82759 2.37497e+38
10.34483 2.02845e+38
10.86207 1.73248e+38
11.37931 1.47970e+38
11.89655 1.26381e+38
12.41379 1.07941e+38
12.93103 9.21916e+37
13.44828 7.87403e+37
13.96552 6.72516e+37
14.48276 5.74392e+37
15.00000 4.90585e+37
