# t[days] u g r i z y J H K
0.51724 -13.065 -13.261 -13.302 -13.724 -13.542 -11.376 -11.589 -11.702 -11.918 
1.03448 -13.238 -13.740 -13.965 -14.108 -14.514 -14.179 -14.242 -14.188 -12.153 
1.55172 -13.238 -14.462 -15.127 -15.564 -15.764 -15.807 -15.546 -15.475 -14.929 
2.06897 -13.132 -14.462 -15.127 -15.580 -15.764 -15.906 -15.813 -15.491 -15.047 
2.58621 -12.455 -13.863 -14.982 -15.580 -15.703 -15.807 -15.813 -15.491 -15.191 
3.10345 -11.388 -13.333 -14.553 -15.100 -15.505 -15.581 -15.597 -15.473 -15.191 
3.62069 -10.370 -12.123 -13.864 -14.600 -14.931 -15.168 -15.177 -15.293 -14.879 
4.13793 -9.728 -11.531 -13.356 -14.103 -14.651 -14.825 -15.112 -14.950 -14.813 
4.65517 -8.432 -10.866 -12.789 -13.570 -13.896 -14.323 -14.708 -14.623 -14.757 
5.17241 -7.455 -9.420 -11.882 -12.993 -13.471 -13.614 -14.123 -14.271 -13.983 
5.68966 -6.536 -9.418 -11.307 -12.164 -12.723 -13.180 -13.660 -13.926 -13.844 
6.20690 -5.553 -8.260 -10.518 -11.860 -12.488 -12.993 -13.099 -13.292 -13.357 
6.72414 -4.960 -8.078 -9.224 -11.116 -11.563 -12.031 -12.406 -12.890 -12.509 
7.24138 -3.817 -6.576 -9.164 -10.449 -11.306 -11.833 -12.204 -12.476 -12.439 
7.75862 -3.135 -5.882 -7.936 -9.930 -10.839 -11.270 -11.335 -11.836 -11.951 
8.27586 -2.281 -5.334 -7.838 -9.436 -10.336 -10.797 -11.005 -11.824 -11.849 
8.79310 -1.657 -3.893 -6.549 -8.511 -9.463 -9.697 -10.526 -11.244 -11.665 
9.31034 -0.784 -3.628 -6.549 -8.511 -8.866 -9.697 -10.208 -11.032 -11.454 
9.82759 -0.538 -3.595 -6.549 -7.485 -8.823 -9.689 -10.208 -10.967 -10.801 
10.34483 0.739 -2.253 -4.983 -7.594 -8.401 -9.687 -9.906 -10.720 -10.801 
10.86207 1.514 -1.452 -4.389 -6.912 -8.104 -9.526 -9.751 -9.926 -10.301 
11.37931 2.288 -1.051 -2.061 -6.590 -7.585 -8.720 -9.325 -9.657 -10.301 
11.89655 3.063 0.568 -1.740 -6.094 -7.239 -8.660 -9.084 -8.403 -9.826 
12.41379 3.838 1.400 -2.061 -3.546 -6.727 -6.820 -8.982 -8.403 -9.816 
12.93103 4.613 2.233 -0.443 -3.546 -6.727 -6.655 -7.403 -8.403 -9.630 
13.44828 5.387 3.065 -2.206 -3.311 -7.499 -6.626 -8.511 -8.199 -9.816 
13.96552 6.162 3.898 -0.133 -3.074 -7.499 -6.626 -8.030 -7.756 -8.968 
14.48276 6.937 4.730 1.039 0.269 -5.523 -3.753 -8.030 -6.922 -8.561 
15.00000 6.937 4.730 1.039 0.269 -4.752 -2.730 -5.334 -6.922 -7.878 
