# t[days] u g r i z y J H K
0.51724 -12.919 -13.826 -14.408 -15.026 -15.284 -14.361 -14.010 -14.219 -11.672 
1.03448 -12.961 -14.080 -15.290 -15.798 -15.996 -15.888 -15.720 -15.376 -15.375 
1.55172 -12.961 -14.080 -15.290 -15.903 -16.061 -16.154 -16.139 -15.996 -15.787 
2.06897 -11.872 -13.636 -15.015 -15.903 -16.118 -16.271 -16.559 -16.373 -16.123 
2.58621 -10.597 -12.707 -14.419 -15.626 -16.061 -16.271 -16.559 -16.373 -16.335 
3.10345 -9.206 -11.961 -13.987 -15.211 -15.750 -16.087 -16.380 -16.371 -16.335 
3.62069 -7.992 -10.899 -13.382 -14.645 -15.307 -15.736 -16.207 -16.315 -16.278 
4.13793 -6.507 -10.440 -12.654 -14.114 -14.923 -15.461 -15.925 -16.140 -16.179 
4.65517 -5.024 -9.429 -11.754 -13.610 -14.644 -14.977 -15.532 -15.881 -16.115 
5.17241 -3.828 -8.314 -11.487 -13.131 -14.043 -14.590 -15.319 -15.687 -15.816 
5.68966 -2.646 -7.541 -10.535 -12.744 -13.619 -14.243 -15.018 -15.527 -15.690 
6.20690 -1.153 -6.489 -10.116 -12.238 -13.131 -13.700 -14.593 -15.321 -15.496 
6.72414 -0.059 -6.147 -9.611 -11.611 -12.618 -13.170 -14.336 -14.972 -15.411 
7.24138 1.240 -4.886 -8.890 -11.068 -12.407 -12.992 -14.054 -14.824 -15.119 
7.75862 2.493 -4.201 -8.279 -10.444 -11.735 -12.639 -13.707 -14.645 -15.053 
8.27586 3.746 -3.542 -7.606 -9.824 -11.211 -12.437 -13.452 -14.350 -14.703 
8.79310 4.999 -3.542 -6.553 -9.076 -10.464 -11.840 -13.045 -14.067 -14.649 
9.31034 6.251 -3.542 -6.259 -8.563 -10.415 -11.176 -12.729 -13.815 -14.648 
9.82759 7.504 -0.528 -6.259 -8.170 -9.982 -10.753 -12.526 -13.615 -14.352 
10.34483 8.757 2.543 -4.726 -8.099 -9.856 -10.413 -12.198 -13.424 -14.208 
10.86207 10.010 3.891 -4.426 -7.097 -8.991 -10.392 -11.822 -13.235 -14.004 
11.37931 11.263 5.240 -3.967 -6.655 -8.759 -9.546 -11.715 -12.933 -13.861 
11.89655 12.515 6.589 -2.463 -6.217 -7.882 -9.507 -11.306 -12.774 -13.513 
12.41379 13.768 7.938 -1.645 -5.832 -7.495 -8.510 -10.871 -12.359 -13.383 
12.93103 15.021 9.287 0.354 -4.859 -7.043 -8.208 -10.539 -12.081 -13.188 
13.44828 16.274 10.635 1.811 -4.723 -6.406 -8.177 -10.238 -11.798 -13.030 
13.96552 17.527 11.984 3.267 -4.327 -6.406 -7.828 -10.031 -11.563 -12.845 
14.48276 18.780 13.333 4.723 -4.327 -6.406 -7.409 -9.912 -11.446 -12.774 
15.00000 18.780 13.333 4.723 -2.073 -4.006 -6.856 -9.509 -11.090 -12.436 
