# t[days] Lbol[erg/s]
0.51724 7.68109e+40
1.03448 1.52135e+41
1.55172 1.52135e+41
2.06897 1.33968e+41
2.58621 1.33679e+41
3.10345 1.17252e+41
3.62069 1.11950e+41
4.13793 9.93326e+40
4.65517 8.83044e+40
5.17241 7.89237e+40
5.68966 7.04809e+40
6.20690 6.14154e+40
6.72414 5.17721e+40
7.24138 4.53061e+40
7.75862 4.20769e+40
8.27586 3.57001e+40
8.79310 3.19619e+40
9.31034 2.89065e+40
9.82759 2.67667e+40
10.34483 2.47853e+40
10.86207 2.29506e+40
11.37931 2.12516e+40
11.89655 1.96785e+40
12.41379 1.82218e+40
12.93103 1.68729e+40
13.44828 1.56239e+40
13.96552 1.44674e+40
14.48276 1.33964e+40
15.00000 1.24048e+40
