# t[days] Lbol[erg/s]
0.51724 7.64702e+40
1.03448 2.74738e+41
1.55172 3.86257e+41
2.06897 3.86257e+41
2.58621 2.61601e+41
3.10345 1.99119e+41
3.62069 1.47770e+41
4.13793 1.01992e+41
4.65517 7.33444e+40
5.17241 4.57690e+40
5.68966 2.59593e+40
6.20690 1.32130e+40
6.72414 7.29541e+39
7.24138 3.51527e+39
7.75862 2.12093e+39
8.27586 7.86228e+38
8.79310 3.38339e+38
9.31034 1.29767e+38
9.82759 4.97710e+37
10.34483 1.90893e+37
10.86207 7.32152e+36
11.37931 2.80811e+36
11.89655 1.07703e+36
12.41379 4.13084e+35
12.93103 1.58435e+35
13.44828 6.07663e+34
13.96552 2.33064e+34
14.48276 8.93897e+33
15.00000 3.42846e+33
