# t[days] u g r i z y J H K
0.51724 -13.217 -14.294 -14.731 -15.043 -13.036 -12.131 -12.348 -7.272 -13.673 
1.03448 -14.341 -15.759 -16.266 -16.387 -15.999 -15.821 -14.819 -14.482 -13.883 
1.55172 -14.341 -15.759 -16.464 -16.846 -16.557 -16.221 -15.398 -14.843 -14.093 
2.06897 -13.686 -15.504 -16.464 -16.846 -16.557 -16.221 -15.398 -14.843 -14.420 
2.58621 -13.041 -15.202 -16.294 -16.702 -16.403 -15.695 -15.021 -14.485 -14.420 
3.10345 -12.508 -14.934 -16.029 -16.375 -16.075 -15.618 -14.689 -14.296 -14.413 
3.62069 -11.605 -14.481 -15.667 -15.970 -15.671 -15.194 -14.580 -14.159 -14.127 
4.13793 -11.047 -13.961 -15.230 -15.680 -15.256 -14.596 -14.012 -14.020 -13.951 
4.65517 -10.016 -13.491 -14.765 -15.104 -14.753 -14.288 -13.858 -13.992 -13.746 
5.17241 -9.655 -12.922 -14.385 -14.744 -14.438 -13.945 -13.549 -13.755 -13.735 
5.68966 -8.724 -12.455 -13.883 -14.415 -13.980 -13.614 -13.450 -13.610 -13.735 
6.20690 -7.707 -12.014 -13.584 -13.945 -13.625 -13.313 -13.229 -13.514 -13.772 
6.72414 -7.231 -11.512 -13.207 -13.629 -13.358 -12.989 -13.127 -13.473 -13.772 
7.24138 -6.919 -10.973 -12.780 -13.391 -13.233 -12.828 -13.061 -13.398 -13.505 
7.75862 -6.097 -10.550 -12.444 -12.971 -12.989 -12.773 -12.851 -13.389 -13.505 
8.27586 -4.657 -10.051 -12.039 -12.766 -12.698 -12.388 -12.677 -13.166 -13.585 
8.79310 -4.462 -9.502 -11.650 -12.292 -12.422 -12.270 -12.563 -13.111 -13.585 
9.31034 -3.807 -8.936 -11.285 -12.135 -12.104 -12.086 -12.485 -13.098 -13.413 
9.82759 -3.393 -8.610 -10.857 -11.644 -11.745 -11.750 -12.076 -12.978 -13.319 
10.34483 -2.072 -8.019 -10.502 -11.390 -11.506 -11.449 -11.973 -12.829 -13.234 
10.86207 -0.619 -7.706 -10.048 -11.036 -11.207 -10.969 -11.683 -12.725 -13.195 
11.37931 -0.221 -6.746 -9.392 -10.641 -10.887 -10.897 -11.644 -12.543 -13.167 
11.89655 4.053 -6.603 -9.175 -10.187 -10.443 -10.777 -11.536 -12.459 -12.994 
12.41379 5.756 -5.086 -8.699 -9.774 -10.252 -10.228 -11.219 -12.285 -12.986 
12.93103 7.459 -4.012 -8.010 -9.378 -9.880 -9.920 -11.100 -12.153 -12.830 
13.44828 9.162 -3.986 -7.775 -9.360 -9.510 -9.573 -10.794 -12.087 -12.762 
13.96552 10.865 -3.739 -6.873 -8.822 -9.291 -9.368 -10.473 -11.899 -12.453 
14.48276 12.568 -3.739 -6.548 -8.306 -8.526 -9.321 -10.158 -11.578 -12.384 
15.00000 12.568 -3.739 -6.005 -7.728 -8.181 -8.312 -9.694 -11.159 -12.098 
