# t[days] u g r i z y J H K
1.22449 -14.951 -16.241 -16.791 -16.922 -16.698 -16.316 -15.312 -14.541 -14.475 
1.42857 -14.951 -16.241 -16.791 -16.925 -16.698 -16.316 -15.312 -14.630 -14.475 
1.63265 -14.798 -16.129 -16.754 -16.922 -16.596 -16.172 -15.215 -14.636 -14.475 
1.83673 -14.601 -16.041 -16.713 -16.866 -16.570 -16.055 -14.935 -14.657 -14.397 
2.04082 -14.413 -15.934 -16.648 -16.812 -16.463 -15.953 -14.920 -14.636 -14.368 
2.24490 -14.200 -15.838 -16.596 -16.725 -16.368 -15.813 -14.824 -14.585 -14.397 
2.44898 -14.029 -15.738 -16.523 -16.626 -16.250 -15.693 -14.796 -14.492 -14.368 
2.65306 -13.893 -15.638 -16.423 -16.516 -16.127 -15.645 -14.589 -14.445 -14.369 
2.85714 -13.656 -15.512 -16.339 -16.432 -16.047 -15.507 -14.542 -14.445 -14.367 
3.06122 -13.538 -15.403 -16.228 -16.311 -15.917 -15.368 -14.531 -14.445 -14.369 
3.26531 -13.344 -15.269 -16.097 -16.215 -15.825 -15.255 -14.453 -14.454 -14.367 
3.46939 -13.127 -15.146 -15.993 -16.114 -15.739 -15.236 -14.453 -14.396 -14.217 
3.67347 -12.921 -15.035 -15.919 -15.993 -15.614 -15.074 -14.375 -14.349 -14.217 
3.87755 -12.752 -14.880 -15.791 -15.903 -15.488 -14.995 -14.341 -14.317 -14.334 
4.08163 -12.519 -14.757 -15.696 -15.773 -15.372 -14.928 -14.319 -14.314 -14.334 
4.28571 -12.343 -14.633 -15.587 -15.706 -15.331 -14.896 -14.280 -14.314 -14.334 
4.48980 -12.211 -14.515 -15.480 -15.572 -15.186 -14.826 -14.253 -14.302 -14.333 
4.69388 -12.005 -14.377 -15.402 -15.512 -15.163 -14.711 -14.150 -14.302 -14.333 
4.89796 -11.848 -14.264 -15.276 -15.406 -15.095 -14.647 -14.132 -14.302 -14.333 
5.10204 -11.568 -14.138 -15.169 -15.332 -14.976 -14.593 -14.103 -14.233 -14.307 
5.30612 -11.461 -14.022 -15.078 -15.239 -14.968 -14.568 -14.096 -14.233 -14.357 
5.51020 -11.404 -13.871 -14.960 -15.139 -14.819 -14.477 -14.032 -14.247 -14.310 
5.71429 -11.116 -13.755 -14.847 -15.040 -14.787 -14.409 -14.030 -14.247 -14.310 
5.91837 -10.945 -13.628 -14.739 -14.966 -14.672 -14.280 -13.973 -14.199 -14.310 
