# t[days] Lbol[erg/s]
1.22449 1.38059e+42
1.42857 1.38059e+42
1.63265 1.28733e+42
1.83673 1.18744e+42
2.04082 1.08611e+42
2.24490 9.97775e+41
2.44898 8.98724e+41
2.65306 8.13858e+41
2.85714 7.34913e+41
3.06122 6.70232e+41
3.26531 6.05219e+41
3.46939 5.55989e+41
3.67347 5.00489e+41
3.87755 4.62351e+41
4.08163 4.21260e+41
4.28571 3.92468e+41
4.48980 3.64719e+41
4.69388 3.37430e+41
4.89796 3.12267e+41
5.10204 2.84519e+41
5.30612 2.66012e+41
5.51020 2.45722e+41
5.71429 2.29176e+41
5.91837 2.15463e+41
