# t[days] Lbol[erg/s]
1.22449 5.07063e+41
1.42857 5.09196e+41
1.63265 5.09196e+41
1.83673 5.04140e+41
2.04082 4.87259e+41
2.24490 4.67880e+41
2.44898 4.42578e+41
2.65306 4.25364e+41
2.85714 3.98659e+41
3.06122 3.75278e+41
3.26531 3.46394e+41
3.46939 3.23315e+41
3.67347 3.08919e+41
3.87755 2.84987e+41
4.08163 2.63019e+41
4.28571 2.45128e+41
4.48980 2.31481e+41
4.69388 2.13695e+41
4.89796 1.99868e+41
5.10204 1.85434e+41
5.30612 1.73324e+41
5.51020 1.62936e+41
5.71429 1.52570e+41
5.91837 1.43222e+41
