# t[days] u g r i z y J H K
1.22449 -11.358 -12.647 -13.345 -13.734 -13.865 -14.076 -14.186 -14.304 -14.464 
1.42857 -11.358 -12.647 -13.345 -13.734 -13.875 -14.076 -14.232 -14.382 -14.464 
1.63265 -10.859 -12.209 -13.217 -13.542 -13.865 -13.981 -14.232 -14.333 -14.486 
1.83673 -10.344 -11.906 -12.925 -13.465 -13.679 -13.824 -14.178 -14.333 -14.394 
2.04082 -9.904 -11.592 -12.742 -13.250 -13.537 -13.778 -14.096 -14.274 -14.432 
2.24490 -9.511 -11.371 -12.515 -13.172 -13.396 -13.617 -14.031 -14.265 -14.394 
2.44898 -8.940 -11.071 -12.323 -12.966 -13.293 -13.567 -13.949 -14.167 -14.350 
2.65306 -8.396 -10.790 -12.020 -12.729 -13.260 -13.414 -13.858 -14.160 -14.305 
2.85714 -8.052 -10.478 -11.767 -12.541 -12.996 -13.323 -13.650 -14.116 -14.233 
3.06122 -7.515 -10.010 -11.566 -12.418 -12.874 -13.043 -13.632 -13.972 -14.130 
3.26531 -7.016 -9.806 -11.362 -12.198 -12.712 -13.031 -13.497 -13.969 -14.066 
3.46939 -6.581 -9.411 -11.120 -12.089 -12.591 -12.839 -13.381 -13.833 -14.001 
3.67347 -6.145 -9.120 -10.752 -11.874 -12.417 -12.749 -13.337 -13.781 -13.986 
3.87755 -5.752 -8.732 -10.531 -11.666 -12.345 -12.550 -13.102 -13.613 -13.856 
4.08163 -5.168 -8.504 -10.362 -11.477 -11.989 -12.477 -13.004 -13.519 -13.810 
4.28571 -4.824 -8.106 -10.171 -11.107 -11.799 -12.247 -12.967 -13.411 -13.774 
4.48980 -4.282 -7.602 -9.904 -11.077 -11.725 -12.022 -12.806 -13.348 -13.770 
4.69388 -3.874 -7.187 -9.547 -10.792 -11.511 -11.859 -12.664 -13.274 -13.544 
4.89796 -3.435 -6.943 -9.361 -10.585 -11.210 -11.783 -12.591 -13.169 -13.496 
5.10204 -2.980 -6.535 -9.018 -10.383 -11.208 -11.603 -12.494 -13.059 -13.409 
5.30612 -2.652 -6.252 -8.799 -10.199 -10.980 -11.538 -12.299 -12.958 -13.350 
5.51020 -2.141 -5.796 -8.590 -9.947 -10.828 -11.400 -12.220 -12.914 -13.305 
5.71429 -2.015 -5.642 -7.884 -9.799 -10.633 -11.116 -12.056 -12.776 -13.149 
5.91837 -1.878 -5.178 -7.814 -9.618 -10.472 -11.040 -11.918 -12.667 -13.122 
