# t[days] u g r i z y J H K
0.51724 -15.263 -15.705 -15.695 -15.340 -14.877 -14.679 -13.614 -13.419 -13.036 
1.03448 -15.504 -17.071 -17.367 -17.052 -16.657 -16.307 -15.558 -15.169 -14.996 
1.55172 -15.504 -17.071 -17.422 -17.414 -17.075 -16.755 -16.268 -15.998 -15.534 
2.06897 -14.552 -16.619 -17.422 -17.414 -17.075 -16.755 -16.268 -15.998 -15.561 
2.58621 -13.174 -15.758 -16.795 -16.877 -16.629 -16.443 -16.000 -15.719 -15.561 
3.10345 -11.764 -14.649 -15.834 -16.053 -15.937 -15.728 -15.255 -15.274 -15.068 
3.62069 -10.559 -13.406 -14.687 -15.029 -14.990 -14.854 -14.576 -14.699 -14.510 
4.13793 -9.567 -12.144 -13.574 -14.143 -14.140 -14.087 -13.708 -13.818 -13.866 
4.65517 -8.651 -10.852 -12.454 -13.173 -13.379 -13.425 -13.339 -13.124 -13.414 
5.17241 -7.691 -10.033 -11.468 -12.428 -12.774 -12.867 -12.934 -12.948 -12.874 
5.68966 -7.030 -9.207 -10.891 -11.843 -12.334 -12.373 -12.585 -12.637 -12.777 
6.20690 -6.419 -8.569 -10.142 -11.441 -11.795 -12.160 -12.284 -12.558 -12.608 
6.72414 -5.840 -7.822 -9.805 -10.991 -11.723 -12.135 -12.281 -12.558 -12.452 
7.24138 -5.270 -7.367 -9.578 -10.786 -11.625 -11.849 -12.238 -12.539 -12.452 
7.75862 -4.676 -7.113 -9.131 -10.413 -11.273 -11.466 -12.179 -12.539 -12.417 
8.27586 -4.054 -6.473 -8.594 -10.082 -10.992 -11.456 -12.033 -12.314 -12.417 
8.79310 -3.483 -6.389 -8.586 -9.971 -10.870 -11.456 -11.749 -12.225 -12.414 
9.31034 -3.000 -6.086 -8.122 -9.480 -10.734 -10.962 -11.711 -12.177 -12.414 
9.82759 -2.393 -5.930 -7.773 -9.318 -10.458 -10.940 -11.629 -12.005 -12.403 
10.34483 -1.813 -4.892 -7.498 -9.049 -10.176 -10.725 -11.441 -11.976 -12.266 
10.86207 -1.178 -4.645 -7.147 -8.799 -9.906 -10.550 -11.423 -11.939 -12.136 
11.37931 -0.480 -3.776 -7.144 -8.763 -9.738 -10.424 -11.159 -11.781 -12.108 
11.89655 0.026 -3.776 -6.564 -7.974 -9.491 -9.776 -11.063 -11.706 -12.089 
12.41379 0.631 -3.235 -6.174 -7.818 -9.390 -9.776 -10.817 -11.537 -12.079 
12.93103 1.236 -3.212 -5.702 -7.491 -9.046 -9.706 -10.575 -11.455 -11.876 
13.44828 1.841 -2.566 -4.980 -7.299 -8.817 -9.236 -10.446 -11.416 -11.868 
13.96552 2.446 -2.593 -4.615 -7.153 -8.340 -9.100 -10.412 -11.306 -11.786 
14.48276 3.052 -1.933 -4.530 -6.788 -8.209 -8.882 -10.271 -11.115 -11.734 
15.00000 3.052 -0.640 -4.087 -6.172 -7.706 -8.747 -10.223 -10.666 -11.637 
