# t[days] Lbol[erg/s]
0.51724 6.78259e+41
1.03448 1.93386e+42
1.55172 1.93386e+42
2.06897 1.77508e+42
2.58621 1.08909e+42
3.10345 5.08362e+41
3.62069 2.16915e+41
4.13793 9.27336e+40
4.65517 4.13603e+40
5.17241 2.38680e+40
5.68966 1.55067e+40
6.20690 1.25099e+40
6.72414 1.05040e+40
7.24138 1.01120e+40
7.75862 9.39294e+39
8.27586 8.30351e+39
8.79310 8.21998e+39
9.31034 7.33402e+39
9.82759 6.39019e+39
10.34483 5.56783e+39
10.86207 4.85130e+39
11.37931 4.22697e+39
11.89655 3.68300e+39
12.41379 3.20903e+39
12.93103 2.79605e+39
13.44828 2.43622e+39
13.96552 2.12270e+39
14.48276 1.84953e+39
15.00000 1.61151e+39
