# t[days] u g r i z y J H K
0.51724 -13.469 -14.395 -14.608 -14.842 -14.960 -14.943 -15.093 -13.778 -12.824 
1.03448 -13.469 -14.395 -15.331 -15.903 -16.257 -16.272 -16.167 -15.547 -15.331 
1.55172 -12.494 -14.194 -15.331 -15.903 -16.257 -16.272 -16.264 -16.028 -15.964 
2.06897 -10.949 -13.460 -14.937 -15.630 -16.000 -16.110 -16.264 -16.050 -15.964 
2.58621 -9.736 -12.451 -14.172 -15.166 -15.577 -15.940 -16.138 -16.050 -15.953 
3.10345 -7.941 -11.262 -13.316 -14.324 -14.987 -15.406 -15.706 -15.822 -15.751 
3.62069 -6.346 -10.313 -12.518 -13.830 -14.558 -14.783 -15.388 -15.472 -15.505 
4.13793 -4.823 -9.800 -11.676 -13.200 -14.049 -14.342 -14.906 -15.153 -15.144 
4.65517 -3.536 -8.461 -10.962 -12.541 -13.381 -13.822 -14.637 -14.787 -14.818 
5.17241 -2.619 -7.392 -10.178 -11.835 -12.801 -13.424 -14.115 -14.467 -14.701 
5.68966 -0.465 -6.435 -9.591 -11.226 -12.204 -12.903 -13.697 -14.169 -14.466 
6.20690 1.692 -5.586 -8.937 -10.664 -11.936 -12.293 -13.327 -13.916 -14.253 
6.72414 3.299 -5.333 -8.415 -10.173 -11.189 -12.017 -12.983 -13.693 -13.998 
7.24138 4.907 -5.333 -7.416 -9.745 -10.790 -11.433 -12.665 -13.452 -13.914 
7.75862 6.514 -3.316 -7.202 -9.169 -10.314 -11.051 -12.222 -13.170 -13.655 
8.27586 8.122 0.042 -6.873 -8.602 -9.829 -10.436 -11.990 -12.920 -13.422 
8.79310 9.729 1.338 -5.870 -8.119 -9.699 -10.218 -11.646 -12.767 -13.322 
9.31034 11.337 2.634 -5.122 -7.696 -8.887 -9.630 -11.203 -12.571 -13.239 
9.82759 12.944 3.929 -4.716 -7.398 -8.711 -9.534 -11.195 -12.188 -12.989 
10.34483 14.552 5.225 -3.926 -7.182 -7.758 -8.729 -10.712 -12.038 -12.878 
10.86207 16.159 6.520 0.156 -6.463 -7.614 -8.486 -10.408 -11.684 -12.637 
11.37931 17.767 7.816 1.561 -4.027 -6.872 -7.810 -10.012 -11.422 -12.379 
11.89655 19.374 9.111 2.967 -4.027 -6.182 -7.588 -9.659 -11.035 -12.325 
12.41379 20.982 10.407 4.373 -3.967 -5.740 -7.221 -9.176 -10.866 -12.083 
12.93103 22.589 11.703 5.778 -3.967 -5.471 -6.532 -8.812 -10.621 -11.850 
13.44828 24.197 12.998 7.184 -3.481 -5.740 -6.078 -8.600 -10.238 -11.716 
13.96552 25.804 14.294 8.590 -2.945 -5.471 -6.071 -7.930 -9.937 -11.328 
14.48276 27.412 15.589 9.995 -2.409 -4.179 -6.071 -7.691 -9.795 -11.036 
15.00000 27.412 15.589 9.995 -1.873 -3.714 -2.659 -7.463 -9.479 -10.772 
