# t[days] Lbol[erg/s]
0.51724 1.50205e+41
1.03448 3.34790e+41
1.55172 5.79294e+41
2.06897 5.79294e+41
2.58621 5.59304e+41
3.10345 4.82803e+41
3.62069 4.18341e+41
4.13793 3.48050e+41
4.65517 2.65907e+41
5.17241 2.25101e+41
5.68966 1.77105e+41
6.20690 1.49427e+41
6.72414 1.23424e+41
7.24138 1.02599e+41
7.75862 8.96996e+40
8.27586 8.00742e+40
8.79310 6.63220e+40
9.31034 5.57346e+40
9.82759 5.08874e+40
10.34483 4.64617e+40
10.86207 4.24210e+40
11.37931 3.87316e+40
11.89655 3.53631e+40
12.41379 3.22876e+40
12.93103 2.94796e+40
13.44828 2.69157e+40
13.96552 2.45749e+40
14.48276 2.24376e+40
15.00000 2.04862e+40
