# t[days] u g r i z y J H K
0.51724 -12.161 -12.491 -12.906 -13.791 -14.396 -11.519 -10.594 -10.161 -12.430 
1.03448 -13.831 -14.553 -15.083 -15.437 -15.592 -15.733 -15.198 -14.911 -13.593 
1.55172 -13.857 -15.235 -16.076 -16.473 -16.476 -16.254 -15.911 -15.387 -14.486 
2.06897 -13.857 -15.235 -16.219 -16.829 -16.958 -16.571 -16.093 -15.864 -15.222 
2.58621 -13.445 -15.165 -16.219 -16.829 -16.958 -16.617 -16.209 -15.904 -15.356 
3.10345 -12.918 -14.840 -16.087 -16.772 -16.878 -16.617 -16.209 -15.864 -15.497 
3.62069 -12.565 -14.702 -15.964 -16.581 -16.635 -16.435 -16.079 -15.801 -15.440 
4.13793 -11.744 -14.258 -15.659 -16.308 -16.363 -16.143 -15.911 -15.671 -15.502 
4.65517 -11.128 -13.765 -15.336 -15.998 -16.099 -15.865 -15.774 -15.573 -15.440 
5.17241 -10.838 -13.333 -15.039 -15.696 -15.657 -15.560 -15.551 -15.439 -15.272 
5.68966 -9.700 -12.929 -14.610 -15.259 -15.358 -15.272 -15.235 -15.275 -15.255 
6.20690 -9.137 -12.667 -14.260 -14.906 -14.992 -14.872 -14.953 -15.123 -15.082 
6.72414 -8.344 -12.229 -13.960 -14.529 -14.678 -14.608 -14.649 -14.840 -14.890 
7.24138 -7.813 -11.725 -13.517 -14.168 -14.347 -14.343 -14.557 -14.725 -14.827 
7.75862 -7.151 -11.367 -13.204 -13.846 -13.900 -13.958 -14.341 -14.389 -14.463 
8.27586 -6.815 -11.032 -12.916 -13.586 -13.812 -13.661 -14.025 -14.231 -14.409 
8.79310 -6.618 -10.819 -12.581 -13.265 -13.433 -13.403 -13.810 -14.220 -14.228 
9.31034 -5.736 -10.410 -12.342 -13.044 -13.201 -13.118 -13.460 -14.066 -14.137 
9.82759 -5.121 -9.895 -11.997 -12.834 -12.982 -12.921 -13.357 -13.839 -13.978 
10.34483 -4.813 -9.492 -11.761 -12.578 -12.525 -12.712 -13.175 -13.604 -13.954 
10.86207 -4.238 -9.288 -11.460 -12.258 -12.376 -12.261 -12.874 -13.593 -13.822 
11.37931 -4.238 -8.925 -11.166 -12.103 -12.255 -12.260 -12.812 -13.389 -13.734 
11.89655 -4.238 -8.629 -10.764 -11.825 -12.020 -11.876 -12.658 -13.201 -13.617 
12.41379 -4.261 -8.208 -10.544 -11.502 -11.607 -11.872 -12.324 -13.190 -13.550 
12.93103 -2.397 -7.636 -10.287 -11.225 -11.574 -11.407 -12.313 -13.068 -13.400 
13.44828 -2.173 -7.486 -10.061 -11.022 -11.386 -11.369 -12.074 -12.910 -13.284 
13.96552 -1.963 -7.126 -9.734 -10.939 -11.154 -10.976 -11.879 -12.852 -13.261 
14.48276 -0.478 -6.737 -9.373 -10.617 -10.921 -10.939 -11.807 -12.655 -13.114 
15.00000 0.000 -5.913 -8.914 -9.904 -10.527 -10.793 -11.548 -12.451 -12.917 
