# t[days] Lbol[erg/s]
0.51724 1.05093e+41
1.03448 4.39634e+41
1.55172 6.08929e+41
2.06897 7.05684e+41
2.58621 7.37841e+41
3.10345 7.37841e+41
3.62069 6.69894e+41
4.13793 5.71960e+41
4.65517 4.50912e+41
5.17241 3.82889e+41
5.68966 3.03199e+41
6.20690 2.53645e+41
6.72414 2.10450e+41
7.24138 1.72445e+41
7.75862 1.48680e+41
8.27586 1.27010e+41
8.79310 1.08246e+41
9.31034 9.44357e+40
9.82759 8.06712e+40
10.34483 6.89130e+40
10.86207 5.88687e+40
11.37931 5.02883e+40
11.89655 4.29585e+40
12.41379 3.66971e+40
12.93103 3.13484e+40
13.44828 2.67792e+40
13.96552 2.28760e+40
14.48276 1.95417e+40
15.00000 1.66934e+40
