# t[days] Lbol[erg/s]
0.51724 6.19180e+40
1.03448 1.83717e+41
1.55172 1.83717e+41
2.06897 1.32978e+41
2.58621 8.72138e+40
3.10345 5.14969e+40
3.62069 3.24422e+40
4.13793 2.07381e+40
4.65517 1.50041e+40
5.17241 1.15729e+40
5.68966 9.49038e+39
6.20690 8.09616e+39
6.72414 6.95713e+39
7.24138 5.92050e+39
7.75862 5.13171e+39
8.27586 4.61643e+39
8.79310 3.99789e+39
9.31034 3.56661e+39
9.82759 3.25787e+39
10.34483 2.97585e+39
10.86207 2.71824e+39
11.37931 2.48294e+39
11.89655 2.26800e+39
12.41379 2.07167e+39
12.93103 1.89233e+39
13.44828 1.72852e+39
13.96552 1.57889e+39
14.48276 1.44221e+39
15.00000 1.31737e+39
