# t[days] u g r i z y J H K
0.51724 -11.940 -13.176 -13.702 -13.918 -13.341 -13.496 -13.156 -12.303 0.000 
1.03448 -14.308 -15.644 -16.355 -16.491 -16.379 -15.593 -14.764 -14.975 -13.518 
1.55172 -14.308 -15.644 -16.432 -16.976 -16.867 -16.319 -15.437 -14.975 -14.429 
2.06897 -13.776 -15.436 -16.448 -16.976 -16.867 -16.319 -15.437 -14.854 -14.547 
2.58621 -13.248 -15.324 -16.432 -16.912 -16.734 -16.125 -15.430 -14.849 -14.736 
3.10345 -12.769 -14.965 -16.237 -16.575 -16.389 -15.634 -14.774 -14.624 -14.740 
3.62069 -11.876 -14.603 -15.856 -16.237 -16.100 -15.464 -14.703 -14.522 -14.740 
4.13793 -11.167 -14.100 -15.517 -15.832 -15.458 -14.959 -14.511 -14.320 -14.059 
4.65517 -10.630 -13.639 -15.070 -15.448 -15.227 -14.732 -14.309 -14.183 -14.059 
5.17241 -10.056 -13.285 -14.656 -15.081 -14.847 -14.363 -14.038 -14.030 -14.130 
5.68966 -8.927 -12.701 -14.234 -14.744 -14.550 -13.982 -13.670 -13.949 -14.130 
6.20690 -8.315 -12.209 -13.841 -14.345 -14.155 -13.675 -13.557 -13.788 -13.929 
6.72414 -7.590 -11.646 -13.453 -14.033 -13.830 -13.424 -13.493 -13.750 -13.861 
7.24138 -6.653 -11.283 -13.112 -13.717 -13.517 -13.311 -13.308 -13.631 -13.803 
7.75862 -6.637 -10.838 -12.751 -13.358 -13.229 -12.872 -12.993 -13.631 -13.794 
8.27586 -5.413 -10.289 -12.382 -13.082 -12.889 -12.761 -12.957 -13.610 -13.688 
8.79310 -5.270 -9.942 -12.046 -12.634 -12.787 -12.478 -12.817 -13.316 -13.616 
9.31034 -5.009 -9.645 -11.714 -12.373 -12.549 -12.404 -12.799 -13.268 -13.600 
9.82759 -3.291 -9.059 -11.391 -12.206 -12.200 -12.042 -12.358 -13.216 -13.517 
10.34483 -3.033 -8.573 -10.899 -11.848 -11.941 -11.813 -12.320 -13.072 -13.479 
10.86207 1.714 -8.047 -10.441 -11.366 -11.524 -11.634 -12.123 -12.981 -13.411 
11.37931 3.111 -7.342 -9.870 -11.052 -11.322 -11.240 -12.074 -12.814 -13.258 
11.89655 4.508 -7.226 -9.590 -10.746 -11.100 -10.968 -11.762 -12.642 -13.257 
12.41379 5.905 -6.576 -9.056 -10.521 -10.782 -10.695 -11.707 -12.575 -13.189 
12.93103 7.302 -5.813 -8.725 -9.790 -10.395 -10.410 -11.558 -12.395 -13.035 
13.44828 8.698 -5.194 -8.244 -9.736 -10.233 -10.186 -11.046 -12.361 -12.921 
13.96552 10.095 -4.549 -7.784 -9.311 -9.613 -10.001 -10.952 -12.164 -12.811 
14.48276 11.492 -3.795 -7.395 -8.992 -9.375 -9.460 -10.655 -11.785 -12.626 
15.00000 11.492 -3.547 -6.518 -8.466 -9.043 -9.292 -9.991 -11.661 -12.254 
